,text_surronding,Gender
Sand-George_Nanon_<toi au moutier-4784>_105444,"voulu prendre mes leçons avec toi au moutier , j'",Female
Sand-George_Nanon_<toi au moutier-4784>_105472,"ennuie à mourir , je te dis , et ,",Female
Sand-George_Nanon_<toi au moutier-4784>_105527,"je me trouve ?– Si vous me demandez conseil ,",Female
Sand-George_Nanon_<toi au moutier-4784>_105528,"me trouve ?– Si vous me demandez conseil , Louise",Female
Sand-George_Nanon_<toi au moutier-4784>_105532,"vous me demandez conseil , Louise , il faut écouter",Female
Sand-George_Nanon_<toi au moutier-4784>_105547,"orgueil , voilà ce que je pense . M .",Female
Sand-George_Nanon_<toi au moutier-4784>_105567,un homme ordinaire . – Tu n' en sais rien,Female
Sand-George_Nanon_<toi au moutier-4784>_105573,n' en sais rien ! Tu connais le monde et,Female
Sand-George_Nanon_<toi au moutier-4784>_105583,les hommes encore moins que moi . – Mais je,Female
Sand-George_Nanon_<toi au moutier-4784>_105587,que moi . – Mais je les devine mieux que,Female
Sand-George_Nanon_<toi au moutier-4784>_105592,je les devine mieux que vous . Je sens dans,Female
Sand-George_Nanon_<toi au moutier-4784>_105594,devine mieux que vous . Je sens dans M .,Female
Sand-George_Nanon_<toi au moutier-4784>_105611,esprit . Tous ceux qui me parlent de lui me,Female
Sand-George_Nanon_<toi au moutier-4784>_105615,qui me parlent de lui me confirment dans mon idée,Female
Sand-George_Nanon_<toi au moutier-4784>_105618,de lui me confirment dans mon idée . – Il,Female
Sand-George_Nanon_<toi au moutier-4784>_105629,"pour un homme supérieur , je le sais . Si",Female
Sand-George_Nanon_<toi au moutier-4784>_105634,je le sais . Si j' étais sûre qu' il,Female
Sand-George_Nanon_<toi au moutier-4784>_105651,"mais non , cela ne m' absoudrait pas ; je",Female
Sand-George_Nanon_<toi au moutier-4784>_105655,ne m' absoudrait pas ; je ne dois pas épouser,Female
Sand-George_Nanon_<toi au moutier-4784>_105663,pas épouser l' ennemi de ma race . Promets -,Female
Sand-George_Nanon_<toi au moutier-4784>_105667,de ma race . Promets - moi de me donner,Female
Sand-George_Nanon_<toi au moutier-4784>_105670,". Promets - moi de me donner asile , et",Female
Sand-George_Nanon_<toi au moutier-4784>_105679,"et , le lendemain de ton mariage avec mon frère",Female
Sand-George_Nanon_<toi au moutier-4784>_105682,"lendemain de ton mariage avec mon frère , je me",Female
Sand-George_Nanon_<toi au moutier-4784>_105685,"mariage avec mon frère , je me sauverai d' ici",Female
Sand-George_Nanon_<toi au moutier-4784>_105693,d' ici pour aller chez vous . – Je n',Female
Sand-George_Nanon_<toi au moutier-4784>_105696,aller chez vous . – Je n' ai rien à,Female
Sand-George_Nanon_<toi au moutier-4784>_105701,"Je n' ai rien à vous promettre , moi .",Female
Sand-George_Nanon_<toi au moutier-4784>_105704,"rien à vous promettre , moi . Émilien , s'",Female
Sand-George_Nanon_<toi au moutier-4784>_105711,"Émilien , s' il est mon mari , sera mon",Female
Sand-George_Nanon_<toi au moutier-4784>_105715,"est mon mari , sera mon maître et je serai",Female
Sand-George_Nanon_<toi au moutier-4784>_105718,", sera mon maître et je serai contente de lui",Female
Sand-George_Nanon_<toi au moutier-4784>_105725,contente de lui obéir . Vous savez bien qu' il,Female
Sand-George_Nanon_<toi au moutier-4784>_105733,qu' il sera heureux de vous avoir avec lui .,Female
Sand-George_Nanon_<toi au moutier-4784>_105752,"et , à présent que vous êtes sûre d' être",Female
