,text_surronding,Gender
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73042,"les Méhudin , Gavard , les Quenu , avec leurs",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73129,"soir , quand Florent et Quenu s' en allèrent chez",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73205,"en arrondissant l' échine . Quenu rentra , la conscience",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73212,", la conscience inquiète . Il ouvrit les trois ou",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73256,". Dans la chambre , il fut très contrarié de",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73287,haute et triste . Comme il ôtait ses souliers et,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73289,triste . Comme il ôtait ses souliers et les posait,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73293,ôtait ses souliers et les posait sur un coin du,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73315,"timbre si clair , qu' il se retourna consterné ,",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73345,doigt sur un livre . Il ne voyait que le,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73363,dans l' oreiller ; mais il sentait bien qu' elle,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73419,"une accusation sans réplique . Quenu , tout à fait",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73434,de ce dos qui semblait l' examiner avec la face,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73444,"épaisse d' un juge , se coula sous les couvertures",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73450,"coula sous les couvertures , souffla la bougie , se",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73454,", souffla la bougie , se tint sage . Il",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73458,", se tint sage . Il était resté sur le",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73469,", pour ne point toucher sa femme . Elle ne",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73478,"ne dormait toujours pas , il l' aurait juré .",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73485,"aurait juré . Puis , il céda au sommeil ,",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73524,"soumissions . Le lendemain , il dormit tard . Quand",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73529,"il dormit tard . Quand il s' éveilla , l'",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73544,"au milieu du lit , il vit Lisa , assise",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73567,"était levée , sans qu' il s' en aperçût ,",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73583,"dévergondage de la veille . Il prit courage , il",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73587,". Il prit courage , il lui dit , du",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73601,:– Tiens ! pourquoi ne m' as - tu pas,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73603,! pourquoi ne m' as - tu pas réveillé ?,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73635,de sa voix ordinaire . Il se sentit soulagé .,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73667,"police ?– Certainement , puisque tu t' occupes de politique",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73675,"de politique , maintenant . Il s' assit sur son",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73679,". Il s' assit sur son séant , hors de",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73684,"son séant , hors de lui , frappé en pleine",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73698,rude et imprévue . – Je m' occupe de politique,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73704,"m' occupe de politique , je m' occupe de politique",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73711,"occupe de politique , répétait - il ; la police",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73725,"voir là - dedans , je ne me compromets pas",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73742,"un haussement d' épaules , tu parles simplement de faire",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73758,Moi ! moi !– Et tu cries cela chez un,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73769,de vin … Mademoiselle Saget t' a entendu . Tout,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73783,"cette heure , sait que tu es un rouge .",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73791,"rouge . Du coup , il se recoucha . Il",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73795,", il se recoucha . Il n' était pas encore",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73811,"Lisa retentissaient , comme s' il eût déjà entendu les",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73828,"porte de la chambre . Il la regardait , coiffée",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73847,"de toilette habituel , et il s' ahurissait davantage ,",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73863,"cette circonstance dramatique . – Tu le sais , je",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73868,"Tu le sais , je te laisse absolument libre ,",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73900,", comme on dit … Tu es le maître ,",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73902,"on dit … Tu es le maître , tu peux",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73905,"Tu es le maître , tu peux risquer ta situation",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73908,"maître , tu peux risquer ta situation , compromettre notre",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73934,"les intérêts de Pauline . Il protesta , mais elle",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73939,"Il protesta , mais elle le fit taire d' un",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_73974,provoque … Ah ! si tu m' avais demandé conseil,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74009,à la politique … Veux - tu que je te,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74173,qu' est - ce que vous voulez ? Qu' est,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74181,"Qu' est - ce que vous aurez de plus ,",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74187,"aurez de plus , quand vous aurez fusillé tout le",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74217,disparaissait sous l' édredon . Il essaya d' expliquer ce,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74228,ces messieurs voulaient ; mais il s' embarrassait dans les,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74243,"Charvet et de Florent , il parlait des principes méconnus",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74282,"sans comprendre . Enfin , il se sauva en tapant",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74315,"Vois - tu , dit - il en se souvenant",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74391,"me fait , ce que tu racontes là ? Quand",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74407,… Est - ce que je te conseille d' être,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74416,"être un malhonnête homme , moi ? Est - ce",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74422,? Est - ce que je te pousse à ne,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74451,mal acquises ? … Tu me ferais mettre en colère,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74487,"Les autres , ça ne me regarde pas ; qu'",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74539,sa vie … Certainement que je profite du bon moment,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74546,du bon moment et que je soutiens le gouvernement qui,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74563,"commet de vilaines choses , je ne veux pas le",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74570,"veux pas le savoir . Moi , je sais que",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74572,"le savoir . Moi , je sais que je n'",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74575,"Moi , je sais que je n' en commets pas",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74581,"n' en commets pas , je ne crains point qu'",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74587,ne crains point qu' on me montre au doigt dans,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74608,"des moulins à vent … Tu te souviens , aux",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74645,"Ça pouvait être vrai , je ne dis pas non",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74651,ne dis pas non . Tu n' en as pas,Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74677,"là , qu' on ne te demandait pas de prêter",Male
Zola-Emile_Le-ventre-de-Paris_<les Quenu-3189>_74701,de montrer au gouvernement que tu étais satisfait de voir,Male
