,text_surronding,Gender
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90079,"au fond de mon séminaire un pauvre jeune homme ,",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90084,"un pauvre jeune homme , qui , si je ne",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90099,être rudement persécuté . S' il n' était qu' un,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90107,"qu' un simple religieux , il serait déjà in pace",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90115,in pace . Jusqu' ici ce jeune homme ne sait,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90137,pas impossible qu' un jour il déploie de grands talents,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90158,. J' ignore ce qu' il fera ; mais il,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90162,qu' il fera ; mais il a le feu sacré,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90168,"a le feu sacré , il peut aller loin .",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90208,. – D' où sort votre jeune homme ? dit,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90218,le marquis . – On le dit fils d' un,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90230,"nos montagnes , mais je le croirais plutôt fils naturel",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90241,quelque homme riche . Je lui ai vu recevoir une,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90263,"francs . – Ah ! c' est Julien Sorel ,",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90265,"– Ah ! c' est Julien Sorel , dit le",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90278,D' où savez - vous son nom ? dit l',Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90320,", vous pourriez essayer d' en faire votre secrétaire ,",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90325,"en faire votre secrétaire , il a de l' énergie",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90339,"; en un mot , c' est un essai à",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90356,le marquis ; mais serait - ce un homme à,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90410,:– Envoyez ce viatique à Julien Sorel ; faites -,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90414,à Julien Sorel ; faites - le - moi venir,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90466,"ne voudra pas laisser partir Julien Sorel , on saura",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90483,", on me répondra qu' il est malade , la",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90528,", dit l' abbé : ce jeune homme quoique né",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90540,"a le cœur haut , il ne sera d' aucune",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90550,utilité si l' on effarouche son orgueil ; vous le,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90554,effarouche son orgueil ; vous le rendriez stupide . –,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90568,"dit le marquis , j' en ferai le camarade de",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90570,"marquis , j' en ferai le camarade de mon fils",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90586,"il ?Quelque temps après , Julien reçut une lettre d'",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90601,"le timbre de Châlons , il y trouva un mandat",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90636,", mais en l' ouvrant Julien avait tressailli : une",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90647,d' arbre était tombée à ses pieds ; c' était,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90655,c' était le signe dont il était convenu avec l',Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90669,"d' une heure après , Julien fut appelé à l'",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90676,appelé à l' évêché où il se vit accueillir avec,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90692,"en citant Horace , Monseigneur lui fit , sur les",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90700,"sur les hautes destinées qui l' attendaient à Paris ,",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90719,", attendaient des explications . Julien ne put rien dire",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90729,", d' abord parce qu' il ne savait rien ,",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90741,prit beaucoup de considération pour lui . Un des petits,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90777,laissé en blanc le nom du voyageur . Le soir,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90785,"Le soir avant minuit , Julien était chez Fouqué ,",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90812,". – Cela finira pour toi , dit cet électeur",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90826,"place du gouvernement , qui t' obligera à quelque démarche",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90841,journaux . C' est par ta honte que j' aurai,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90847,honte que j' aurai de tes nouvelles . Rappelle -,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90851,"de tes nouvelles . Rappelle - toi que , même",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90896,celui du roi Salomon . Julien ne vit dans tout,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90913,un bourgeois de campagne . Il allait enfin paraître sur,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90932,"aller à Paris , qu' il se figurait peuplé de",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90964,"Agde , éclipsait tout à ses yeux . Il se",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90967,tout à ses yeux . Il se représenta à son,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90971,. Il se représenta à son ami comme privé de,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90976,son ami comme privé de son libre arbitre par la,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90992,"Le lendemain vers midi , il arriva dans Verrières le",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_90996,", il arriva dans Verrières le plus heureux des hommes",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91002,plus heureux des hommes ; il comptait revoir Mme de,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91009,revoir Mme de Rênal . Il alla d' abord chez,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91014,"Il alla d' abord chez son premier protecteur , le",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91023,le bon abbé Chélan . Il trouva une réception sévère,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91031,réception sévère . – Croyez - vous m' avoir quelque,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91038,m' avoir quelque obligation ? lui dit M . Chélan,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91047,"Chélan , sans répondre à son salut . Vous allez",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91050,répondre à son salut . Vous allez déjeuner avec moi,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91061,pendant ce temps on ira vous louer un autre cheval,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91068,"un autre cheval , et vous quitterez Verrières , sans",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91084,"c' est obéir , répondit Julien avec une mine de",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91105,"et de belle latinité . Il monta à cheval ,",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91110,"Il monta à cheval , fit une lieue , après",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91123,"bois , et personne pour l' y voir entrer ,",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91128,"l' y voir entrer , il s' y enfonça .",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91138,"Au coucher du soleil , il renvoya le cheval .",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91146,"cheval . Plus tard , il entra chez un paysan",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91155,"paysan , qui consentit à lui vendre une échelle et",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91161,vendre une échelle et à le suivre en la portant,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91200,"paysan en prenant congé de lui , mais qu' importe",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91243,"une heure du matin , Julien , chargé de son",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91247,", Julien , chargé de son échelle , entra dans",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91254,", entra dans Verrières . Il descendit le plus tôt",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91260,descendit le plus tôt qu' il put dans le lit,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91291,contenu entre deux murs . Julien monta facilement avec l',Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91300,l' échelle . Quel accueil me feront les chiens de,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91308,chiens de garde ? pensait - il . Toute la,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91327,s' avancèrent au galop sur lui ; mais il siffla,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91330,"galop sur lui ; mais il siffla doucement , et",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91337,"doucement , et ils vinrent le caresser . Remontant alors",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91355,"grilles fussent fermées , il lui fut facile d' arriver",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91410,"forme de cœur , que Julien connaissait bien . À",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91415,"Julien connaissait bien . À son grand chagrin , cette",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91439,Grand Dieu ! se dit - il ; cette nuit,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91471,"est à Verrières , puisque j' ai trouvé les chiens",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91478,trouvé les chiens ; mais je puis rencontrer dans cette,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91517,ce parti fit horreur à Julien . Si c' est,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91525,"c' est un étranger , je me sauverai à toutes",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91533,"à toutes jambes , abandonnant mon échelle ; mais si",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91544,"est elle , quelle réception m' attend ? Elle est",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91560,"la plus haute piété , je n' en puis douter",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91575,"a encore quelque souvenir de moi , puisqu' elle vient",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91581,", puisqu' elle vient de m' écrire . Cette raison",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91586,m' écrire . Cette raison le décida . Le cœur,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91603,"ou à la voir , il jeta de petits cailloux",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91616,; point de réponse . Il appuya son échelle à,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91618,de réponse . Il appuya son échelle à côté de,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91627,"de la fenêtre , et frappa lui - même contre",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91628,"la fenêtre , et frappa lui - même contre le",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91651,"il fasse , on peut me tirer un coup de",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91659,"coup de fusil , pensa Julien . Cette idée réduisit",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91683,"nuit , pensa - t - il , ou quelle",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91728,"dans les autres chambres . Il descendit , plaça son",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91731,"chambres . Il descendit , plaça son échelle contre un",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91732,". Il descendit , plaça son échelle contre un des",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91739,"contre un des volets , remonta , et passant la",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91753,"en forme de cœur , il eut le bonheur de",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91773,qui fermait le volet . Il tira ce fil de,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91787,avec une joie inexprimable qu' il sentit que ce volet,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91797,n' était plus retenu et cédait à son effort .,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91799,plus retenu et cédait à son effort . Il faut,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91813,"petit , et faire reconnaître ma voix . Il ouvrit",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91816,faire reconnaître ma voix . Il ouvrit le volet assez,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91838,"C' est un ami . Il s' assura , en",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91891,le coup de fusil ! Il réfléchit un peu ;,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91902,", avec le doigt , il osa frapper contre la",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91913,: pas de réponse ; il frappa plus fort .,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91919,frappa plus fort . Quand je devrais casser la vitre,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91931,"faut en finir . Comme il frappait très fort ,",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91936,"il frappait très fort , il crut entrevoir , au",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91966,"eut plus de doute , il vit une ombre qui",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91982,lenteur . Tout à coup il vit une joue qui,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91995,la vitre contre laquelle était son œil . Il tressaillit,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_91998,"laquelle était son œil . Il tressaillit , et s'",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92003,"Il tressaillit , et s' éloigna un peu . Mais",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92020,"même à cette distance , il ne put distinguer si",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92031,était Mme de Rênal . Il craignait un premier cri,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92039,premier cri d' alarme ; il entendait les chiens rôder,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92052,demi autour du pied de son échelle . C' est,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92055,"pied de son échelle . C' est moi , répétait",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92057,"son échelle . C' est moi , répétait - il",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92060,"C' est moi , répétait - il assez haut ,",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92079,"blanc avait disparu . Daignez m' ouvrir , il faut",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92085,"ouvrir , il faut que je vous parle , je",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92089,"que je vous parle , je suis trop malheureux !",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92095,suis trop malheureux ! et il frappait de façon à,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92119,de la fenêtre cédait ; il poussa la croisée et,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92124,il poussa la croisée et sauta légèrement dans la chambre,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92136,fantôme blanc s' éloignait ; il lui prit les bras,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92148,était une femme . Toutes ses idées de courage s',Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92170,"elle dire ? Que devint - il , quand il",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92174,"devint - il , quand il comprit à un petit",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92190,Rênal ?Il la serra dans ses bras ; elle tremblait,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92203,à peine la force de le repousser . – Malheureux,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92211,– Malheureux ! que faites - vous ?À peine si,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92216,- vous ?À peine si sa voix convulsive pouvait articuler,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92224,pouvait articuler ces mots . Julien y vit l' indignation,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92234,la plus vraie . – Je viens vous voir après,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92236,vraie . – Je viens vous voir après quatorze mois,Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92247,"une cruelle séparation . – Sortez , quittez - moi",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92250,". – Sortez , quittez - moi à l' instant",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92258,"l' instant . Ah ! M . Chélan , pourquoi",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92263,"M . Chélan , pourquoi m' avoir empêché de lui",Male
Stendhal_Le-Rouge-et-le-noir_<un pauvre jeune homme-4204>_92270,empêché de lui écrire ? j' aurais prévenu cette horreur,Male
