,text_surronding,Gender
Daudet-Alphonse_L-Immortel_<Paul-3741>_67520,toujours pas de ce que Paul attendait . Il essayait,Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67523,ce que Paul attendait . Il essayait de l' y,Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67542,"cheveux , s' informait de son hiver . Allait -",Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67600,Palestine . Qu' en pensait - il ? Bien sûr,Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67621,"un prétexte en somme pour le retenir , la femme",Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67635,"l' idée que , s' il retournait à Paris ,",Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67642,"à Paris , d' autres le lui enlèveraient . Paul",Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67643,"Paris , d' autres le lui enlèveraient . Paul ,",Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67646,"autres le lui enlèveraient . Paul , se jugeant mystifié",Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67653,"se jugeant mystifié , mordait ses lèvres : « Ah",Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67664,"c' est comme ça , ma fille … Eh bien",Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67677,voir . » Lasse de son voyage et de sa,Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67721,"» . Elle viendrait ; il serait là , derrière",Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67768,". Mais ce mot , Paul Astier , ce soir",Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67784,"pas ; et , malgré sa déconvenue , elle voyait",Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67855,"Gobineau , qui disait à Paul , à déjeuner ,",Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67966,une merveille de costume qui la faisait toute jeune et,Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67973,"toute jeune et mince , elle lui proposa une course",Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_67974,"jeune et mince , elle lui proposa une course à",Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_68070,oblique soleil très doux . Elle lui parlait de ce,Male
Daudet-Alphonse_L-Immortel_<Paul-3741>_68071,soleil très doux . Elle lui parlait de ce mari,Male
