,text_surronding,Gender
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167301,"pas de peine à reconnaître Compain , cet orateur dont",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167303,"peine à reconnaître Compain , cet orateur dont la motion",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167305,"reconnaître Compain , cet orateur dont la motion avait causé",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167366,", lubrifiés d' admiration . Compain , sans doute ,",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167376,"en était fier , car il dit :– Je vous",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167379,", car il dit :– Je vous présente ce gaillard",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167392,"C' est un bottier de mes amis , un patriote",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167404,"- nous quelque chose ?Frédéric l' ayant remercié , il",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167500,"recommencer 93 ! Puis , il s' informa de Regimbart",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167544,Tout cela était nouveau pour Frédéric . Compain n' en,Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167546,était nouveau pour Frédéric . Compain n' en savait pas,Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167553,"en savait pas davantage . Il le quitta , en",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167554,"savait pas davantage . Il le quitta , en disant",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167570,"- ce pas , car vous en êtes ?– De",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167590,"de veau ?– Ah ! farceur ! reprit Compain ,",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167593,"Ah ! farceur ! reprit Compain , en lui donnant",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167596,"! reprit Compain , en lui donnant une tape sur",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167618,". Dix minutes après , Frédéric ne songeait plus à",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167625,songeait plus à Deslauriers . Il était sur le trottoir,Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167640,devant une maison ; et il regardait au second étage,Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167658,"une lampe . Enfin , il monta l' escalier .",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167694,":– Madame , c' est M . Moreau !Elle se",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167801,"travailleur . Cet éloge irritait Frédéric ; et , désignant",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167807,"; et , désignant sur ses genoux un morceau de",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167825,Qu' est - ce que vous faites là ?– Une,Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167832,là ?– Une veste que j' arrange pour ma fille,Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167835,veste que j' arrange pour ma fille . – À,Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167842,". – À propos , je ne l' aperçois pas",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167859,"Dans une pension , reprit Mme Arnoux . Des larmes",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167864,Mme Arnoux . Des larmes lui vinrent aux yeux ;,Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167869,"lui vinrent aux yeux ; elle les retenait , en",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167875,"les retenait , en poussant son aiguille rapidement . Il",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167879,poussant son aiguille rapidement . Il avait pris par contenance,Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167896,"la table , près d' elle . – Ces caricatures",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167936,– Quel temps ! dit Frédéric . – En effet,Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167956,"horrible pluie !– Oh ! moi , je m' en",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167958,"!– Oh ! moi , je m' en moque !",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167963,je m' en moque ! Je ne suis pas comme,Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167970,"suis pas comme ceux qu' elle empêche , sans doute",Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167992,vous ? demanda - t - elle naïvement . –,Male
Flaubert-Gustave_L-Education-sentimentale_<Compain-9798>_167997,- elle naïvement . – Vous ne vous rappelez pas,Male
