,text_surronding,,,,Gender
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3256,l' eût enfin comprise . Je pensai à quelque fille,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3282,", un peu lasse . J' avais voulu rester avec",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3287,"J' avais voulu rester avec mon père , tandis que",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3292,"mon père , tandis que ma mère , pour assouvir",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3319,"montagnes russes . Certes , j' éprouvais cet étrange besoin",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3327,étrange besoin plus vivement que mes frères . J' aimais,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3330,vivement que mes frères . J' aimais que mon cœur,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3333,frères . J' aimais que mon cœur batte vite et,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3348,"d' une poésie profonde , me satisfaisait davantage . «",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3354,"satisfaisait davantage . « Comme tu es pâle » ,",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3361,"pâle » , avait dit ma mère . Je trouvai",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3364,avait dit ma mère . Je trouvai le prétexte des,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3374,"feux de Bengale . Ils me donnaient , dis -",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3378,"Ils me donnaient , dis - je , une couleur",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3393,"tout de même que cela l' impressionne trop , dit",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3401,", dit - elle à mon père . — Oh",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3417,n' est plus insensible . Il peut regarder n' importe,,,,Male
