,text_surronding,Gender
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262394,oubliez pas ! »Je regardais M . de Charlus .,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262400,". de Charlus . Certes sa tête magnifique , et",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262405,"sa tête magnifique , et qui répugnait , l' emportait",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262436,semblait prêt à sortir de sa bouche mauvaise ; pour,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262480,"de quelques belles paroles qu' il colorât ses haines ,",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262482,"belles paroles qu' il colorât ses haines , on sentait",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262519,", une idée fixe , cet homme était capable d'",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262537,et de beau langage qu' il avait eu raison de,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262547,le faire et n' en était pas moins supérieur de,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262555,"supérieur de cent coudées à son frère , sa belle",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262558,"coudées à son frère , sa belle - sœur ,",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262579,"Vélasquez , continua - t - il , le vainqueur",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262607,"j' étais tout et que vous n' étiez rien ,",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262612,"vous n' étiez rien , c' est moi qui ai",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262615,"rien , c' est moi qui ai fait les premiers",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262622,fait les premiers pas vers vous . Vous avez sottement,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262624,premiers pas vers vous . Vous avez sottement répondu à,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262664,"que j' ai eue envers vous me sera comptée ,",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262693,", s' il était à votre portée d' en avoir",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262699,portée d' en avoir envers qui vous dépasse de tant,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262700,d' en avoir envers qui vous dépasse de tant de,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262710,"coudées ; mais enfin , monsieur , de tout cela",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262722,est plus question . Je vous ai soumis à l',male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262772,de l' ivraie . Je vous reprocherais à peine de,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262822,être à l' abri de vos inventions calomniatrices . »,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262838,ici que la colère de M . de Charlus pût,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262851,un propos désobligeant qu' on lui eût répété ; j',male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262881,pièces . Je protestai à M . de Charlus que,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262904,pas que j' aie pu vous fâcher en disant à,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262954,"insolente : « Oh ! monsieur , dit - il",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262988,"descendante , je pense que vous vous faites tort à",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262993,vous vous faites tort à vous - même en vous,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_262997,à vous - même en vous accusant d' avoir dit,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263073,"je ne pense pas que vous ayez dit , ni",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263087,étions liés ! Quant à vous être vanté de m',male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263133,fort naturel et intelligent que vous l' ayez fait .,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263171,"amorce de relations étaient pour vous , ce n' est",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263196,avantage dont je trouve que votre sottise fut non point,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263242,tellement empreinte de tristesse que je croyais qu' il allait,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263255,"pleurer , que , quand vous avez laissé sans réponse",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263264,réponse la proposition que je vous ai faite à Paris,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263277,"a paru tellement inouï de votre part à vous ,",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263280,"inouï de votre part à vous , qui m' aviez",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263282,"votre part à vous , qui m' aviez semblé bien",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263371,"terminé , la chose ne vous a pas plu ,",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263388,Il me semble seulement que vous auriez pu ( et,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263422,. J' avais conçu pour vous des choses infiniment séduisantes,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263434,m' étais bien gardé de vous dire . Vous avez,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263437,gardé de vous dire . Vous avez préféré refuser sans,male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263446,"sans savoir , c' est votre affaire . Mais ,",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263453,". Mais , comme je vous le dis , on",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263464,"toujours écrire . Moi à votre place , et même",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263539,", parce que ce que vous avez fait , dans",male
Proust-Marcel_Le-Cote-de-Guermantes_<M . de Charlus-12760>_263596,le croire . ) Je vous disais que j' ai,male
