,text_surronding,Gender
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83080,"il lui causait , et madame Yolande ne paraissait point",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83086,Yolande ne paraissait point trouver son petit - neveu aussi,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83097,qu' il l' était . Elle souriait en écoutant ses,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83106,"ses niaiseries , comme si elle eût pris plaisir à",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83116,se rappeler le temps où elle faisait grande figure dans,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83214,nécessaire pour déraisonner . Alors madame Yolande s' aperçut de,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83224,son mauvais ton et lui dit : – Mon cher,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83227,"et lui dit : – Mon cher enfant , allez",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83246,ce que vous dites . J' aime à croire qu',Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83288,offertes de bon cœur . Marguerite fut contente de la,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83308,"lui . Pourtant , comme il y a toujours un",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83325,"le plus raisonnable , quand elle s' habilla le lendemain",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83331,"s' habilla le lendemain , elle reprocha à sa fille",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83334,"lendemain , elle reprocha à sa fille de chambre de",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83339,sa fille de chambre de lui apporter toujours ses plus,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83342,chambre de lui apporter toujours ses plus vilaines robes ;,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83347,ses plus vilaines robes ; elle en avait dans son,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83351,; elle en avait dans son armoire d' assez belles,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83357,armoire d' assez belles qu' elle ne mettait jamais .,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83366,. La fille de chambre lui présenta alors une robe,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83379,"très riche que madame Yolande lui avait donnée , et",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83425,"toilette , et , comme Marguerite n' avait point coutume",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83448,"pour courir et jardiner , la pauvre enfant , quand",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83454,"pauvre enfant , quand on la forçait à se faire",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83483,Puypercé de se moquer d' elle . Il ne le,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83502,"lui avait profité , et Marguerite fut surprise de le",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83514,aimable et très poli . Elle lui sut gré des,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83522,gré des excuses qu' il lui fit de sa migraine,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83544,rendu maussade ; enfin il lui parla de manière à,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83549,lui parla de manière à lui faire oublier tout ce,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83555,"faire oublier tout ce qui lui avait déplu , et",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83561,"avait déplu , et à son tour elle désira lui",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83563,", et à son tour elle désira lui être agréable",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83573,". Après le déjeuner , elle lui proposa de visiter",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83578,elle lui proposa de visiter ses nouveaux jardins . Elle,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83582,"visiter ses nouveaux jardins . Elle l' y conduisit ,",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83588,"l' y conduisit , et se réjouit de le voir",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83617,"poissons rouges , et lui demanda s' ils étaient bons",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83661,". Une seule chose inquiéta Marguerite , c' est que",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83695,aile et de bec . Elle craignit qu' en se,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83784,le cygne et lui . Marguerite eut de la peine,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83797,"oiseau exaspéré et à rejoindre son cousin , dont la",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83803,"cousin , dont la frayeur l' étonna beaucoup . Il",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83812,Il s' en justifia en lui disant qu' il avait,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83834,"défendant , une bête qu' elle aimait . Elle était",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83837,bête qu' elle aimait . Elle était en train d',Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83845,"train d' excuser tout , elle l' excusa et le",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83850,"elle l' excusa et le mena dans la campagne ,",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83856,"dans la campagne , où elle lui montra les beaux",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83875,combien valent - ils ? lui demanda M . de,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83884,"de Puypercé . – Vraiment je ne sais , répondit",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83889,"je ne sais , répondit Marguerite ; ils ne sont",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83906,ils seront à vous ? Votre grand - mère m',Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83918,"ce matin qu' elle comptait vous donner , après sa",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83939,ci . – Elle ne m' a jamais parlé de,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83947,"parlé de cela , et je vous prie , Mélidor",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83956,"Mélidor , de ne pas me parler de la mort",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83962,parler de la mort de ma grand - mère .,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83984,"vieille , et elle désire vous marier auparavant . –",Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83989,vous marier auparavant . – Je ne veux point me,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_83998,me marier ! s' écria Marguerite ; je ne veux,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_84000,! s' écria Marguerite ; je ne veux pas risquer,Female
Sand-George_Contes-d-une-grand-mere_<madame Yolande-3175>_84010,"d' être obligée de quitter ma bonne - maman ,",Female
