,text_surronding,Gender,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_39686,"au clair de lune , Ève et David assis sur",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_39755,"simple qui faisait croire qu' elle était parée , comme",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_39779,"accessoires . Aussi , quand elle quittait son costume d'",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_39781,"Aussi , quand elle quittait son costume d' ouvrière ,",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_39787,"costume d' ouvrière , intimidait - elle prodigieusement David .",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_39818,il donna le bras à la belle Ève pour traverser,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_39868,"gauche de la Charente . Ève , qui trouva ce",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_39870,"la Charente . Ève , qui trouva ce silence gênant",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_39923,La belle soirée ! dit - elle en cherchant un,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40044,. Savez - vous que j' étais embarrassée … –,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40064,répondit naïvement David . – Je suis donc moins belle,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40077,? lui demanda - t - elle . – Non,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40124,"plaisir à cette promenade , j' en suis ravie ,",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40130,"en suis ravie , car je me crois obligée à",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40145,échange de celle que vous m' avez sacrifiée . En,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40171,était Lucien en risquant de la fâcher par sa demande,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40214,", permettez - moi , chère Ève , de vous",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40218,", chère Ève , de vous exprimer quelques - unes",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40245,"lui dire , mes craintes vous paraîtront , je l'",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40257,"un raffinement d' amitié . Vous et votre mère ,",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40259,"d' amitié . Vous et votre mère , vous avez",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40384,"gagnera pas ; enfin , vous l' avez habitué à",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40445,donnera madame de Bargeton à votre frère en retour de,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40541,"âmes poétiques . Oui , je tremble que cette grande",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40586,en est fou . – Vous me glacez le cœur,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40587,"est fou . – Vous me glacez le cœur ,",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40607,". Mais , tant que ma mère aura la force",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40620,"pénible métier et tant que je vivrai , les produits",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40649,où sa fortune commencera . Je ne manquerai jamais de,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40667,"une personne aimée , dit Ève en s' animant ,",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40682,amertume et ses ennuis . Je suis heureuse en songeant,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40689,heureuse en songeant pour qui je me donne tant de,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40744,". Écoutez - moi , chère Ève . La lente",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40829, et les produits de votre travail ne seront jamais,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40841,avec ses besoins . – Vous n' êtes donc qu',Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40856,écria Ève désespérée . Autrement vous ne nous décourageriez pas,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40864,décourageriez pas ainsi . – Ève ! Ève ! répondit,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40866,"ainsi . – Ève ! Ève ! répondit David ,",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40879,le frère de Lucien . Vous seule pouvez me donner,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40894,"permettrait de tout accepter de moi , qui me donnerait",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40911,avec le saint amour que vous mettez à vos sacrifices,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40914,"amour que vous mettez à vos sacrifices , mais en",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40926,"le discernement du calculateur . Ève , chère enfant aimée",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40928,"du calculateur . Ève , chère enfant aimée , faites",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40962,comme la sienne ? Si vous saviez toutes les réflexions,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40968,saviez toutes les réflexions que m' a suggérées la position,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_40991,"il ne doit plus être mon prote , il ne",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41003,"loger à l' Houmeau , vous ne devez plus rester",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41010,"devez plus rester ouvrière , votre mère ne doit plus",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41020,faire son métier . Si vous consentiez à devenir ma,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41024,"Si vous consentiez à devenir ma femme , tout s'",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41037,pourrait demeurer au second chez moi pendant que je lui,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41040,second chez moi pendant que je lui bâtirais un appartement,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41060,"cour , à moins que mon père ne veuille élever",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41082,", une vie indépendante . Mon désir de soutenir Lucien",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41087,Mon désir de soutenir Lucien me donnera pour faire fortune,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41095,faire fortune un courage que je n' aurais pas s',Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41106,ne s' agissait que de moi  mais il dépend,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41112, mais il dépend de vous d' autoriser mon dévouement,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41115,dépend de vous d' autoriser mon dévouement . Peut -,Neutral,
